road_link_id,time_period,travel_time,delay,volume,density,speed,queue
1,0700:00_0701:00,  6.00,  0.00,  0.00, 60.00,  0.00,  0.00,
1,0701:00_0702:00,  6.00,  0.00,  0.00, 60.00,  0.00,  0.00,
1,0702:00_0703:00,  6.00,  0.00,  0.00, 60.00,  0.00,  0.00,
1,0703:00_0704:00,  6.00,  0.00,  0.00, 60.00,  0.00,  0.00,
1,0704:00_0705:00,  6.00,  0.00,  0.00, 60.00,  0.00,  0.00,
1,0705:00_0706:00,  6.00,  0.00,  3.00, 60.00,  0.00,  0.00,
2,0700:00_0701:00,  4.00,  0.00,  0.00, 60.00,  0.00,  0.00,
2,0701:00_0702:00,  4.00,  0.00,  0.00, 60.00,  0.00,  0.00,
2,0702:00_0703:00,  4.00,  0.00,  0.00, 60.00,  0.00,  0.00,
2,0703:00_0704:00,  4.00,  0.00,  2.00, 60.00,  0.00,  0.00,
4,0706:00_0707:00,  2.00,  0.00,  0.00, 60.00,  0.00,  0.00,
4,0707:00_0708:00,  2.00,  0.00,  2.00, 60.00,  0.00,  0.00,
6,0704:00_0705:00,  2.00,  0.00,  0.00, 60.00,  0.00,  0.00,
6,0705:00_0706:00,  2.00,  0.00,  1.00, 60.00,  0.00,  0.00,
7,0708:00_0709:00,  7.00,  0.00,  0.00, 60.00,  0.00,  0.00,
7,0709:00_0710:00,  7.00,  0.00,  0.00, 60.00,  0.00,  0.00,
7,0710:00_0711:00,  7.00,  0.00,  0.00, 60.00,  0.00,  0.00,
7,0711:00_0712:00,  7.00,  0.00,  0.00, 60.00,  0.00,  0.00,
7,0712:00_0713:00,  7.00,  0.00,  0.00, 60.00,  0.00,  0.00,
7,0713:00_0714:00,  7.00,  0.00,  0.00, 60.00,  0.00,  0.00,
7,0714:00_0715:00,  7.00,  0.00,  1.00, 60.00,  0.00,  0.00,
