DTALite:
A Fast Open Source DTA Engine
Software Version =,2.0.0
Release Date=,Apr 27 2020
Simulation Date =,year: 2020,month:04,day:27,hour:16,min:25
Traffic Flow Model =,Newell's Cumulative Flow Count Model
Assignment method=,MSA
 
# of Nodes=,6
# of Zones=,6
# of Link Types=,8
# of Links=,9
--Parameters for link effective green time mode --=,
# of Links with Effective Green Time=,0
Avg Effective Green Time (sec)=,0
Avg Signalized Lane Capacity (vph)=,0
Avg Cycle length (sec)=,0
---- =,
# of Prohibited Movements=,0
# of Signals=,0
# of Zones=,6
# of Demand Types=,4

Demand multiplier in input_scenario_settings.csv file=,1
# of Agents to be simulated=,5
# of Intra-zone Agents (not be simulated)=,0
Starting Time of Demand Loading (min)=,420
Ending Time of Demand Loading (min)=,420

--Link Type Statistics--
link_type,link_type_name,link_type_code,number_of_links,avg_lane_capacity,avg_number_of_lanes,avg_speed_limit,avg_link_length,avg_K_jam,total_link_length,
0,Ped link,a,0,0,0,0,0,0,0,
1,Freeway connector,f,9,1800,1,60,3.11111,180,28,
2,Freeway,f,0,0,0,0,0,0,0,
3,Expressway,f,0,0,0,0,0,0,0,
4,Collector,c,0,0,0,0,0,0,0,
5,Ramp,a,0,0,0,0,0,0,0,
6,Dummy link,a,0,0,0,0,0,0,0,
7,Major arterial,a,0,0,0,0,0,0,0,
Routing method=,Individual agent-based routing
Iteration #,CPU Running Time,Per Iteration CPU Running Time,# of agents,Avg Travel Time (min),Avg Waiting Time at Origin (min),Avg Trip Time Index=(Mean TT/Free-flow TT),Avg Distance,Avg Speed,% considering to switch,% switched,% completing trips,network clearance time (in min),Avg User Equilibirum (UE) gap (min),Relative UE gap (%),
1,00:00:00,00:00:00,5,7.8,0,1,7.8,60,100,100,100,435, , ,
2,00:00:00,00:00:00,5,7.8,0,1,7.8,60,40,0,100,435,5.29999,58.9333,
3,00:00:00,00:00:00,5,7.8,0,1,7.8,60,100,0,100,435,0,0,
4,00:00:00,00:00:00,5,7.8,0,1,7.8,60,20,0,100,435,6.09999,78.9333,
5,00:00:00,00:00:00,5,7.8,0,1,7.8,60,20,0,100,435,6.49999,79.0999,
6,00:00:00,00:00:00,5,7.8,0,1,7.8,60,0,0,100,435,7.65999,98.4332,
7,00:00:00,00:00:00,5,7.8,0,1,7.8,60,0,0,100,435,7.65999,98.4332,
8,00:00:00,00:00:00,5,7.8,0,1,7.8,60,0,0,100,435,7.65999,98.4332,
9,00:00:00,00:00:00,5,7.8,0,1,7.8,60,0,0,100,435,7.65999,98.4332,
10,00:00:00,00:00:00,5,7.8,0,1,7.8,60,0,0,100,435,7.65999,98.4332,
11,00:00:00,00:00:00,5,7.8,0,1,7.8,60,20,0,100,435,6.45999,78.4332,
12,00:00:00,00:00:00,5,7.8,0,1,7.8,60,0,0,100,435,7.65999,98.4332,
13,00:00:00,00:00:00,5,7.8,0,1,7.8,60,0,0,100,435,7.65999,98.4332,
14,00:00:00,00:00:00,5,7.8,0,1,7.8,60,0,0,100,435,7.65999,98.4332,
15,00:00:00,00:00:00,5,7.8,0,1,7.8,60,20,0,100,435,4.72,78.8333,
16,00:00:00,00:00:00,5,7.8,0,1,7.8,60,0,0,100,435,7.65999,98.4332,
17,00:00:00,00:00:00,5,7.8,0,1,7.8,60,0,0,100,435,7.65999,98.4332,
18,00:00:00,00:00:00,5,7.8,0,1,7.8,60,0,0,100,435,7.65999,98.4332,
19,00:00:00,00:00:00,5,7.8,0,1,7.8,60,0,0,100,435,7.65999,98.4332,
20,00:00:00,00:00:00,5,7.8,0,1,7.8,60,0,0,100,435,7.65999,98.4332,


--Time Dependent Network MOE--,60 min interval
time_stamp_in_min,time_clock,cumulative_in_flow_count,cumulative_out_flow_count,number_agents_in_network,number_agents_entering_network,total_agent_distance_traveled,avg_trip_time (departure_time_based),avg_trip_time_index = trip time/FFTT,avg_distance,avg_speed,
420, 7:00,5,0, , , ,7.8,1,7.8,60,

--Time Dependent Network MOE--,15 min interval
time_stamp_in_min,time_clock,cumulative_in_flow_count,cumulative_out_flow_count,number_agents_in_network,number_agents_entering_network,total_agent_distance_traveled,avg_trip_time (departure_time_based),avg_trip_time_index = trip time/FFTT,avg_distance,avg_speed,
420, 7:00,5,0, , , ,7.8,1,7.8,60,
435, 7:15,5,5, , , ,0,0,0,0,
