agent_id,o_zone_id,d_zone_id,o_node_id,d_node_id,agent_type,PCE,time_period,distance,travel_time,node_sequence,time_sequence
0,7,9,11281,5356,1,1.0000,0731:34_0731:34,2.058,4.022,11281;5214;11259;5587;5174;5868;5216;5356;,0731:30;0732:29;0732:42;0733:23;0733:53;0734:12;0735:04;0735:36;
1,37,34,1353,1322,1,1.0000,0754:32_0754:32,0.479,1.464,1353;5589;1322;,0754:30;0755:16;0756:00;
2,11,20,5119,1357,1,1.0000,0730:11_0730:11,2.369,5.813,5119;5727;5118;10854;7210;11763;5730;8172;6185;5175;11257;11184;5588;1357;,0730:06;0730:17;0730:30;0730:44;0730:53;0731:05;0731:21;0731:48;0732:31;0732:43;0733:15;0734:05;0734:31;0736:00;
3,21,18,6253,1286,1,1.0000,0754:33_0754:33,6.263,12.649,6253;5868;5174;5587;11259;5214;6256;5232;5219;11173;5114;11161;5103;5820;11147;5022;4952;5440;11125;1286;,0754:30;0755:19;0755:39;0756:09;0756:50;0757:03;0757:53;0758:31;0759:07;0800:12;0800:42;0801:18;0801:48;0802:53;0803:27;0803:40;0804:36;0805:20;0805:48;0807:12;
4,34,8,1322,10847,1,1.0000,0746:39_0746:39,3.793,7.550,1322;5589;5114;11173;5219;5232;6256;5214;11259;5587;5174;5868;5216;10847;,0746:36;0747:17;0747:40;0748:10;0749:15;0749:51;0750:29;0751:20;0751:33;0752:14;0752:43;0753:03;0753:55;0754:12;
5,18,9,1286,5356,1,1.0000,0713:48_0713:48,6.507,13.087,1286;11125;5440;4952;5022;11147;5820;5103;11161;5114;11173;5219;5232;6256;5214;11259;5587;5174;5868;5216;5356;,0713:48;0715:08;0715:36;0716:20;0717:16;0717:30;0718:04;0719:08;0719:39;0720:04;0720:33;0721:39;0722:24;0723:02;0723:52;0724:05;0724:46;0725:15;0725:35;0726:27;0726:54;
6,17,31,1289,1314,1,1.0000,0757:42_0757:42,1.286,2.589,1289;5018;5017;11146;1314;,0757:42;0758:27;0759:09;0759:30;0800:18;
7,13,3,5034,11159,1,1.0000,0728:31_0728:31,3.679,6.374,5034;11129;5027;5009;5863;5524;5022;11147;5820;5103;11161;5114;5589;5112;11159;,0728:30;0728:59;0729:13;0729:28;0729:47;0730:34;0730:54;0731:07;0731:41;0732:46;0733:17;0733:42;0734:05;0734:28;0734:54;
8,9,12,5356,11151,1,1.0000,0728:13_0728:13,2.826,6.179,5356;5216;11507;5175;6185;8172;3000;1358;5117;5106;4804;5109;11151;,0728:12;0728:38;0729:12;0729:25;0729:37;0730:19;0730:32;0730:44;0730:57;0732:49;0733:21;0733:52;0734:24;
9,32,15,1285,4899,1,1.0000,0753:56_0753:56,2.640,4.663,1285;5018;5436;11125;5440;11127;11126;5441;5861;10872;5030;4899;,0753:54;0754:37;0755:19;0755:44;0756:12;0756:38;0757:10;0757:21;0757:32;0757:44;0758:02;0758:36;
10,32,20,1285,1356,1,1.0000,0725:44_0725:44,4.365,8.651,1285;5018;5017;11124;5022;11147;5820;5103;11161;5114;11173;5219;5232;6256;1356;,0725:42;0726:25;0727:07;0727:43;0727:57;0728:11;0728:45;0729:49;0730:20;0730:45;0731:15;0732:20;0732:56;0733:34;0734:24;
11,15,28,4899,1359,1,1.0000,0715:33_0715:33,2.939,6.349,4899;5030;4958;5010;5027;11150;5109;4804;5106;5117;1358;3000;3001;1359;,0715:30;0716:04;0716:20;0716:34;0717:06;0717:48;0717:58;0718:29;0719:02;0720:54;0721:06;0721:19;0721:31;0721:54;
12,17,6,1289,5238,1,1.0000,0750:15_0750:15,4.659,7.337,1289;5018;5017;11146;5736;11148;5113;11160;5112;11172;5210;5211;5209;5208;5238;,0750:12;0751:00;0751:42;0752:03;0752:23;0752:42;0753:11;0753:30;0753:48;0754:10;0754:56;0755:21;0755:53;0756:30;0757:36;
13,11,13,5119,5034,1,1.0000,0729:20_0729:20,2.487,5.262,5119;5727;5118;11255;5117;5106;4804;5109;11150;5027;11129;5034;,0729:18;0729:26;0729:39;0730:00;0730:14;0732:06;0732:39;0733:10;0733:21;0733:50;0734:04;0734:36;
14,31,17,1314,1289,1,1.0000,0731:47_0731:47,1.286,2.605,1314;11146;5017;5018;1289;,0731:42;0732:34;0732:55;0733:37;0734:24;
15,13,18,5034,1286,1,1.0000,0711:54_0711:54,3.065,5.891,5034;11129;5027;5009;5863;5524;5022;4952;5440;11125;1286;,0711:54;0712:22;0712:36;0712:51;0713:10;0713:57;0714:17;0715:13;0715:57;0716:25;0717:48;
16,26,20,1323,1356,1,1.0000,0730:38_0730:38,2.272,5.066,1323;5592;5114;11173;5219;5232;6256;1356;,0730:36;0731:24;0732:05;0732:35;0733:40;0734:16;0734:54;0735:42;
17,6,22,5238,3689,1,1.0000,0725:07_0725:07,2.890,5.272,5238;5208;11261;5214;11259;5587;5174;5868;5216;11507;3689;,0725:06;0726:08;0726:29;0726:58;0727:11;0727:52;0728:22;0728:41;0729:33;0730:07;0730:24;
18,6,3,5238,11159,1,1.0000,0721:46_0721:46,2.654,4.117,5238;5208;5209;5211;5210;11172;5112;11159;,0721:42;0722:47;0723:24;0723:56;0724:21;0725:07;0725:29;0725:54;
19,18,11,1286,5119,1,1.0000,0735:03_0735:03,4.712,9.840,1286;11125;5440;4952;5022;5524;5863;5009;5027;11150;5109;4804;5106;5117;11255;5118;5727;5119;,0735:00;0736:23;0736:51;0737:35;0738:31;0739:00;0739:46;0740:06;0740:21;0740:50;0741:01;0741:32;0742:04;0743:56;0744:10;0744:32;0744:44;0744:54;
20,3,31,11159,1318,1,1.0000,0712:34_0712:34,0.707,1.425,11159;5112;11160;1318;,0712:30;0712:58;0713:15;0714:00;
21,34,27,1322,1346,1,1.0000,0749:17_0749:17,0.968,2.114,1322;5589;5112;11172;1346;,0749:12;0749:55;0750:18;0750:40;0751:24;
22,1,16,5577,11827,1,1.0000,0731:33_0731:33,0.904,1.643,5577;5436;11125;5440;11827;,0731:30;0731:52;0732:17;0732:44;0733:12;
23,25,14,1354,5037,1,1.0000,0755:56_0755:56,4.212,8.058,1354;5592;5114;11161;5103;5820;11147;5022;5524;5863;5009;5027;5010;4958;5030;11128;5037;,0755:54;0756:43;0757:25;0757:50;0758:21;0759:25;0759:59;0800:13;0800:33;0801:20;0801:39;0801:54;0802:26;0802:40;0802:56;0803:12;0804:00;
24,11,3,5119,11159,1,1.0000,0708:50_0708:50,2.338,4.153,5119;5727;5118;11255;5117;5;4;3;2;1;5592;5114;5589;5112;11159;,0708:48;0708:57;0709:09;0709:31;0709:45;0709:58;0710:12;0710:26;0710:39;0710:53;0711:07;0711:48;0712:12;0712:34;0713:00;
25,37,6,1349,5238,1,1.0000,0718:25_0718:25,1.884,3.280,1349;5210;5211;5209;5208;5238;,0718:24;0719:04;0719:29;0720:01;0720:38;0721:42;
26,31,34,1318,1322,1,1.0000,0744:31_0744:31,0.360,1.079,1318;11160;1322;,0744:30;0745:12;0745:36;
27,1,33,5577,1351,1,1.0000,0730:21_0730:21,4.303,6.639,5577;5436;5018;5017;11146;5736;11148;5113;11160;5112;11172;5210;5211;5209;1351;,0730:18;0730:40;0731:22;0732:04;0732:25;0732:45;0733:05;0733:34;0733:52;0734:10;0734:33;0735:18;0735:43;0736:15;0737:00;
28,37,14,1353,5037,1,1.0000,0711:45_0711:45,4.092,7.634,1353;5589;5114;11161;5103;5820;11147;5022;5524;5863;5009;5027;5010;4958;5030;11128;5037;,0711:42;0712:29;0712:53;0713:18;0713:49;0714:54;0715:27;0715:41;0716:01;0716:48;0717:07;0717:22;0717:54;0718:08;0718:24;0718:41;0719:24;
29,27,11,1346,5119,1,1.0000,0751:48_0751:48,2.581,4.889,1346;11172;5112;5589;5114;5592;1;2;3;4;5;5117;11255;5118;5727;5119;,0751:48;0752:31;0752:54;0753:17;0753:40;0754:22;0754:36;0754:49;0755:03;0755:17;0755:30;0755:44;0755:58;0756:19;0756:32;0756:42;
30,35,25,1290,1354,1,1.0000,0743:13_0743:13,2.876,5.980,1290;4952;5022;11147;5820;5103;11161;5114;5592;1354;,0743:12;0743:56;0744:52;0745:06;0745:39;0746:44;0747:15;0747:40;0748:22;0749:12;
31,18,6,1286,5238,1,1.0000,0703:11_0703:11,5.621,9.002,1286;11125;5436;5018;5017;11146;5736;11148;5113;11160;5112;11172;5210;5211;5209;5208;5238;,0703:06;0704:31;0704:56;0705:39;0706:20;0706:41;0707:02;0707:21;0707:50;0708:08;0708:26;0708:49;0709:35;0709:59;0710:31;0711:08;0712:12;
32,34,14,1319,5037,1,1.0000,0700:18_0700:18,2.434,4.590,1319;11124;5022;5524;5863;5009;5027;5010;4958;5030;11128;5037;,0700:18;0700:53;0701:07;0701:27;0702:14;0702:33;0702:48;0703:20;0703:35;0703:50;0704:07;0704:54;
33,1,9,5577,5356,1,1.0000,0718:14_0718:14,6.567,12.553,5577;5436;5018;5017;11124;5022;11147;5820;5103;11161;5114;11173;5219;5232;6256;5214;11259;5587;5174;5868;5216;5356;,0718:12;0718:33;0719:15;0719:57;0720:34;0720:48;0721:01;0721:35;0722:39;0723:10;0723:35;0724:30;0725:35;0726:18;0726:56;0727:46;0727:59;0728:40;0729:09;0729:29;0730:21;0730:48;
34,37,41,1353,5578,1,1.0000,0753:17_0753:17,3.445,5.303,1353;5589;5112;11160;5113;11148;5736;11146;5017;5018;5436;5578;,0753:12;0754:01;0754:24;0754:42;0755:00;0755:29;0755:48;0756:09;0756:30;0757:11;0757:54;0758:36;
35,6,35,5238,1290,1,1.0000,0750:43_0750:43,5.143,9.272,5238;5208;5209;5211;5210;11172;5112;5589;5114;11161;5103;5820;11147;5022;4952;1290;,0750:42;0751:44;0752:21;0752:53;0753:17;0754:03;0754:26;0754:49;0755:12;0755:54;0756:24;0757:29;0758:03;0758:16;0759:12;0800:00;
37,11,14,5119,5037,1,1.0000,0737:17_0737:17,3.145,6.515,5119;5727;5118;11255;5117;5106;4804;5109;11150;5027;5010;4958;5030;11128;5037;,0737:12;0737:23;0737:36;0737:57;0738:11;0740:03;0740:36;0741:06;0741:17;0741:47;0742:19;0742:33;0742:49;0743:06;0743:48;
38,6,35,5238,1290,1,1.0000,0700:58_0700:58,5.143,9.020,5238;5208;5209;5211;5210;11172;5112;5589;5114;11161;5103;5820;11147;5022;4952;1290;,0700:54;0701:59;0702:36;0703:08;0703:32;0704:18;0704:41;0705:04;0705:27;0705:53;0706:23;0707:28;0708:02;0708:15;0709:12;0710:00;
