agent_id,agent_type,o_zone_id,d_zone_id,o_node_id,d_node_id,time_period,volume
1,1,2,18,2,18,1053_1053,1
2,1,18,18,18,18,0129_0129,1
3,1,18,92,18,92,1215_1215,1
4,1,92,18,92,18,1229_1229,1
5,1,18,147,18,147,1243_1243,1
6,1,147,13,147,13,1249_1249,1
7,1,13,2,13,2,0132_0132,1
8,1,2,63,2,63,1753_1753,1
9,1,63,2,63,2,1943_1943,1
10,1,3,108,3,108,1448_1448,1
11,1,108,186,108,186,1549_1549,1
12,1,186,92,186,92,1555_1555,1
13,1,92,92,92,92,0161_0161,1
14,1,92,55,92,55,0167_0167,1
15,1,55,174,55,174,1613_1613,1
16,1,174,3,174,3,1622_1622,1
17,1,3,145,3,145,1718_1718,1
18,1,145,3,145,3,1749_1749,1
19,1,3,108,3,108,1448_1448,1
20,1,108,186,108,186,1549_1549,1
21,1,186,92,186,92,1555_1555,1
22,1,92,92,92,92,0161_0161,1
23,1,92,55,92,55,0167_0167,1
24,1,55,174,55,174,1613_1613,1
25,1,174,3,174,3,1622_1622,1
26,1,3,17,3,17,1718_1718,1
27,1,17,147,17,147,1727_1727,1
28,1,147,145,147,145,1737_1737,1
29,1,145,18,145,18,1948_1948,1
30,1,18,196,18,196,1955_1955,1
31,1,196,3,196,3,0203_0203,1
32,1,3,94,3,94,0748_0748,1
33,1,94,3,94,3,1548_1548,1
34,1,3,195,3,195,0718_0718,1
35,1,195,3,195,3,1448_1448,1
36,1,3,22,3,22,0818_0818,1
37,1,22,3,22,3,0163_0163,1
38,1,3,108,3,108,1448_1448,1
39,1,108,186,108,186,1549_1549,1
40,1,186,92,186,92,1555_1555,1
41,1,92,92,92,92,0161_0161,1
42,1,92,55,92,55,0167_0167,1
43,1,55,174,55,174,1613_1613,1
44,1,174,3,174,3,1622_1622,1
45,1,3,108,3,108,1448_1448,1
46,1,108,186,108,186,1549_1549,1
47,1,186,92,186,92,1555_1555,1
48,1,92,92,92,92,0161_0161,1
49,1,92,55,92,55,0167_0167,1
50,1,55,174,55,174,1613_1613,1
51,1,174,3,174,3,1622_1622,1
52,1,3,17,3,17,1718_1718,1
53,1,17,147,17,147,1727_1727,1
54,1,147,145,147,145,1737_1737,1
55,1,145,18,145,18,1948_1948,1
56,1,18,196,18,196,1955_1955,1
57,1,196,3,196,3,0203_0203,1
58,1,3,17,3,17,1718_1718,1
59,1,17,147,17,147,1727_1727,1
60,1,147,145,147,145,1737_1737,1
61,1,145,18,145,18,1948_1948,1
62,1,18,196,18,196,1955_1955,1
63,1,196,3,196,3,0203_0203,1
64,1,3,17,3,17,1718_1718,1
65,1,17,147,17,147,1727_1727,1
66,1,147,145,147,145,1737_1737,1
67,1,145,18,145,18,1948_1948,1
68,1,18,196,18,196,1955_1955,1
69,1,196,3,196,3,0203_0203,1
70,1,3,17,3,17,1718_1718,1
71,1,17,147,17,147,1727_1727,1
72,1,147,145,147,145,1737_1737,1
73,1,145,18,145,18,1948_1948,1
74,1,18,196,18,196,1955_1955,1
75,1,196,3,196,3,0203_0203,1
76,1,3,17,3,17,1718_1718,1
77,1,17,147,17,147,1727_1727,1
78,1,147,145,147,145,1737_1737,1
79,1,145,18,145,18,1948_1948,1
80,1,18,196,18,196,1955_1955,1
81,1,196,3,196,3,0203_0203,1
82,1,4,18,4,18,1810_1810,1
83,1,18,29,18,29,0202_0202,1
84,1,29,4,29,4,2013_2013,1
85,1,4,168,4,168,0742_0742,1
86,1,168,18,168,18,1627_1627,1
87,1,18,146,18,146,1643_1643,1
88,1,146,29,146,29,1650_1650,1
89,1,29,4,29,4,0170_0170,1
90,1,4,147,4,147,0145_0145,1
91,1,147,4,147,4,1652_1652,1
92,1,4,473,4,473,0613_0613,1
93,1,473,4,473,4,1558_1558,1
94,1,4,37,4,37,1843_1843,1
95,1,37,4,37,4,1921_1921,1
96,1,4,57,4,57,2028_2028,1
97,1,57,92,57,92,2129_2129,1
98,1,92,4,92,4,2137_2137,1
99,1,4,134,4,134,0958_0958,1
100,1,134,23,134,23,0105_0105,1
101,1,23,4,23,4,1713_1713,1
102,1,4,137,4,137,1858_1858,1
103,1,137,4,137,4,1932_1932,1
104,1,4,18,4,18,0716_0716,1
105,1,18,195,18,195,0730_0730,1
106,1,195,134,195,134,0743_0743,1
107,1,134,4,134,4,1746_1746,1
108,1,4,18,4,18,0716_0716,1
109,1,18,4,18,4,1646_1646,1
110,1,4,18,4,18,0716_0716,1
111,1,18,195,18,195,0730_0730,1
112,1,195,97,195,97,1416_1416,1
113,1,97,4,97,4,1429_1429,1
114,1,4,18,4,18,1330_1330,1
115,1,18,145,18,145,0149_0149,1
116,1,145,67,145,67,1416_1416,1
117,1,67,4,67,4,1435_1435,1
118,1,4,174,4,174,0749_0749,1
119,1,174,84,174,84,0759_0759,1
120,1,84,4,84,4,0934_0934,1
121,1,4,84,4,84,0104_0104,1
122,1,84,67,84,67,0124_0124,1
123,1,67,67,67,67,1251_1251,1
124,1,67,84,67,84,1257_1257,1
125,1,84,174,84,174,0194_0194,1
126,1,174,4,174,4,1915_1915,1
127,1,4,18,4,18,0959_0959,1
128,1,18,394,18,394,0948_0948,1
129,1,394,174,394,174,0102_0102,1
130,1,174,172,174,172,1019_1019,1
131,1,172,92,172,92,1025_1025,1
132,1,92,4,92,4,1038_1038,1
133,1,4,147,4,147,0113_0113,1
134,1,147,385,147,385,0130_0130,1
135,1,385,4,385,4,0139_0139,1
136,1,4,61,4,61,0824_0824,1
