name,road_link_id,from_node_id,to_node_id,facility_type,link_type,dir_flag,length,lanes,free_speed,capacity,geometry
,1,1,100002,HOT,9,1,277,1,25,1800,"LINESTRING (1523373.000000 1003235.000000 ,1523448.678000 1002967.757000 )"
,1,1,101990,HOT,9,1,239,1,25,1800,"LINESTRING (1523373.000000 1003235.000000 ,1523365.110000 1003474.169000 )"
,1,1,101997,HOT,9,1,293,1,25,1800,"LINESTRING (1523373.000000 1003235.000000 ,1523666.177000 1003224.848000 )"
,1,1,101998,HOT,9,1,230,1,25,1800,"LINESTRING (1523373.000000 1003235.000000 ,1523143.000000 1003235.000000 )"
,2,2,100004,HOT,9,1,264,1,25,1800,"LINESTRING (1523873.000000 1003225.000000 ,1523854.344000 1002961.414000 )"
,2,2,101992,HOT,9,1,226,1,25,1800,"LINESTRING (1523873.000000 1003225.000000 ,1523854.344000 1003450.648000 )"
,2,2,101996,HOT,9,1,277,1,25,1800,"LINESTRING (1523873.000000 1003225.000000 ,1524150.707000 1003215.440000 )"
,2,2,101997,HOT,9,1,206,1,25,1800,"LINESTRING (1523873.000000 1003225.000000 ,1523666.177000 1003224.848000 )"
,3,3,101995,HOT,9,1,170,1,25,1800,"LINESTRING (1524263.000000 1003205.000000 ,1524432.957000 1003196.623000 )"
,3,3,101996,HOT,9,1,112,1,25,1800,"LINESTRING (1524263.000000 1003205.000000 ,1524150.707000 1003215.440000 )"
,4,4,100020,HOT,9,1,204,1,25,1800,"LINESTRING (1524224.000000 1002265.000000 ,1524428.253000 1002274.606000 )"
,4,4,100021,HOT,9,1,96,1,25,1800,"LINESTRING (1524224.000000 1002265.000000 ,1524128.379000 1002273.724000 )"
,5,5,100004,HOT,9,1,196,1,25,1800,"LINESTRING (1523854.000000 1002765.000000 ,1523854.344000 1002961.414000 )"
,5,5,100007,HOT,9,1,287,1,25,1800,"LINESTRING (1523854.000000 1002765.000000 ,1524141.299000 1002763.839000 )"
,5,5,100008,HOT,9,1,188,1,25,1800,"LINESTRING (1523854.000000 1002765.000000 ,1523666.177000 1002777.952000 )"
,5,5,100017,HOT,9,1,260,1,25,1800,"LINESTRING (1523854.000000 1002765.000000 ,1523854.000000 1002505.000000 )"
,6,6,100002,HOT,9,1,242,1,25,1800,"LINESTRING (1523354.000000 1002745.000000 ,1523448.678000 1002967.757000 )"
,6,6,100008,HOT,9,1,313,1,25,1800,"LINESTRING (1523354.000000 1002745.000000 ,1523666.177000 1002777.952000 )"
,6,6,100009,HOT,9,1,226,1,25,1800,"LINESTRING (1523354.000000 1002745.000000 ,1523129.000000 1002769.000000 )"
,6,6,100014,HOT,9,1,230,1,25,1800,"LINESTRING (1523354.000000 1002745.000000 ,1523334.000000 1002515.000000 )"
,7,7,100014,HOT,9,1,231,1,25,1800,"LINESTRING (1523324.000000 1002284.000000 ,1523334.000000 1002515.000000 )"
