road_link_id,time_period,travel_time,delay,volume,density,speed,queue
0,0701:00_0702:00,  0.69,  0.00,  2.00, 21.00,  0.00,  0.00,
0,0702:00_0703:00,  0.69,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0703:00_0704:00,  0.69,  0.00,  3.00, 21.00,  0.00,  0.00,
0,0705:00_0706:00,  0.69,  0.00,  2.00, 21.00,  0.00,  0.00,
0,0706:00_0707:00,  0.69,  0.00,  2.00, 21.00,  0.00,  0.00,
0,0708:00_0709:00,  0.69,  0.00,  2.00, 21.00,  0.00,  0.00,
0,0710:00_0711:00,  0.69,  0.00,  2.00, 21.00,  0.00,  0.00,
0,0711:00_0712:00,  0.69,  0.00,  2.00, 21.00,  0.00,  0.00,
0,0712:00_0713:00,  0.69,  0.00,  4.00, 21.00,  0.00,  0.00,
0,0713:00_0714:00,  0.69,  0.00,  2.00, 21.00,  0.00,  0.00,
0,0714:00_0715:00,  0.69,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0715:00_0716:00,  0.69,  0.00,  4.00, 21.00,  0.00,  0.00,
0,0717:00_0718:00,  0.69,  0.00,  4.00, 21.00,  0.00,  0.00,
0,0718:00_0719:00,  0.69,  0.00,  4.00, 21.00,  0.00,  0.00,
0,0719:00_0720:00,  0.69,  0.00,  3.00, 21.00,  0.00,  0.00,
0,0720:00_0721:00,  0.69,  0.00,  2.00, 21.00,  0.00,  0.00,
0,0721:00_0722:00,  0.69,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0722:00_0723:00,  0.69,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0723:00_0724:00,  0.69,  0.00,  2.00, 21.00,  0.00,  0.00,
0,0724:00_0725:00,  0.69,  0.00,  3.00, 21.00,  0.00,  0.00,
0,0725:00_0726:00,  0.69,  0.00,  2.00, 21.00,  0.00,  0.00,
0,0726:00_0727:00,  0.69,  0.00,  2.00, 21.00,  0.00,  0.00,
0,0727:00_0728:00,  0.69,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0728:00_0729:00,  0.69,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0730:00_0731:00,  0.69,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0731:00_0732:00,  0.69,  0.00,  4.00, 21.00,  0.00,  0.00,
0,0732:00_0733:00,  0.69,  0.00,  3.00, 21.00,  0.00,  0.00,
0,0733:00_0734:00,  0.69,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0735:00_0736:00,  0.69,  0.00,  1.00, 21.00,  0.00,  0.00,
0,0736:00_0737:00,  0.69,  0.00,  2.00, 21.00,  0.00,  0.00,
0,0737:00_0738:00,  0.69,  0.00,  4.00, 21.00,  0.00,  0.00,
0,0738:00_0739:00,  0.69,  0.00,  2.00, 21.00,  0.00,  0.00,
