name,node_id,zone_id,control_type,control_type_name,cycle_length_in_second,x_corrd,y_coord
,1285,32,4,4way_stop_sign,0,-111.943375,40.616454
,1286,18,4,4way_stop_sign,0,-111.934202,40.630776
,1289,17,4,4way_stop_sign,0,-111.933868,40.616707
,1290,35,4,4way_stop_sign,0,-111.924502,40.617134
,1296,40,4,4way_stop_sign,0,-111.915638,40.613722
,1299,36,4,4way_stop_sign,0,-111.908054,40.616174
,1314,31,4,4way_stop_sign,0,-111.944074,40.606326
,1316,31,4,4way_stop_sign,0,-111.943565,40.598006
,1318,31,4,4way_stop_sign,0,-111.943411,40.590891
,1319,34,4,4way_stop_sign,0,-111.934408,40.607297
,1320,34,4,4way_stop_sign,0,-111.934152,40.599993
,1322,34,4,4way_stop_sign,0,-111.934349,40.591006
,1323,26,4,4way_stop_sign,0,-111.921418,40.591609
,1325,24,4,4way_stop_sign,0,-111.907451,40.592344
,1346,27,4,4way_stop_sign,0,-111.943605,40.584092
,1348,27,4,4way_stop_sign,0,-111.943542,40.576985
,1349,37,4,4way_stop_sign,0,-111.934352,40.57687
,1351,33,4,4way_stop_sign,0,-111.943535,40.568001
,1352,19,4,4way_stop_sign,0,-111.933963,40.567876
,1353,37,4,4way_stop_sign,0,-111.934266,40.584068
,1354,25,4,4way_stop_sign,0,-111.923428,40.584054
,1355,25,4,4way_stop_sign,0,-111.924746,40.576632
,1356,20,4,4way_stop_sign,0,-111.924114,40.567177
,1357,20,4,4way_stop_sign,0,-111.914302,40.565109
,1358,,5,pretimed_signal,70,-111.911502,40.583522
,1359,28,4,4way_stop_sign,0,-111.911824,40.577722
,1360,30,4,4way_stop_sign,0,-111.901834,40.584029
,1361,23,4,4way_stop_sign,0,-111.902492,40.57568
,1397,38,4,4way_stop_sign,0,-111.936589,40.553565
,1404,39,4,4way_stop_sign,0,-111.908153,40.57176
,3689,22,4,4way_stop_sign,0,-111.900748,40.562521
,4156,,4,4way_stop_sign,0,-111.900942,40.58562
,4804,,4,4way_stop_sign,0,-111.910307,40.602331
,4899,15,0,unknown_control,0,-111.910059,40.625783
,4952,,4,4way_stop_sign,0,-111.929251,40.616674
,4958,,4,4way_stop_sign,0,-111.910232,40.618529
,5009,,5,pretimed_signal,70,-111.913172,40.61047
,5010,,5,pretimed_signal,70,-111.910059,40.616076
,5017,,5,pretimed_signal,70,-111.938751,40.609517
,5018,,4,4way_stop_sign,0,-111.938855,40.616737
,5022,,5,pretimed_signal,70,-111.929163,40.609415
,5027,,5,pretimed_signal,70,-111.910314,40.610655
,5030,,5,pretimed_signal,70,-111.909957,40.621262
,5034,13,0,unknown_control,0,-111.902804,40.610814
,5037,14,4,4way_stop_sign,0,-111.901884,40.620828
,5103,,0,unknown_control,0,-111.929223,40.594991
,5106,,4,4way_stop_sign,0,-111.910268,40.598557
