name,road_link_id,from_node_id,to_node_id,direction,length,lanes,free_speed,capacity,link_type,link_type_name,jam_density,demand_type_code,count_sensor_id,speed_sensor_id
Connector,0,1289,4952,1,0.2427,7,21,10000,1,Zone Connector,1000,,,
Connector,0,1289,5018,1,0.2621,7,21,10000,1,Zone Connector,1001,,,
Connector,0,1289,11124,1,0.5069,7,21,10000,1,Zone Connector,1002,,,
Connector,0,1289,11125,1,0.5047,7,21,10000,1,Zone Connector,1003,,,
Connector,0,1290,4952,1,0.2516,7,21,10000,1,Zone Connector,1004,,,
Connector,0,1296,5240,1,0.2056,7,21,10000,1,Zone Connector,1005,,,
Connector,0,1299,4958,1,0.1988,7,21,10000,1,Zone Connector,1006,,,
Connector,0,1299,11129,1,0.3637,7,21,10000,1,Zone Connector,1007,,,
Connector,0,1314,11146,1,0.2758,7,21,10000,1,Zone Connector,1008,,,
Connector,0,1316,11148,1,0.2608,7,21,10000,1,Zone Connector,1009,,,
Connector,0,1318,11160,1,0.2384,7,21,10000,1,Zone Connector,1010,,,
Connector,0,1319,11124,1,0.2054,7,21,10000,1,Zone Connector,1011,,,
Connector,0,1320,5820,1,0.3445,7,21,10000,1,Zone Connector,1012,,,
Connector,0,1320,11148,1,0.2527,7,21,10000,1,Zone Connector,1013,,,
Connector,0,1322,5589,1,0.2229,7,21,10000,1,Zone Connector,1014,,,
Connector,0,1322,11161,1,0.267,7,21,10000,1,Zone Connector,1015,,,
Connector,0,1323,5592,1,0.2697,7,21,10000,1,Zone Connector,1016,,,
Connector,0,1325,10853,1,0.1583,7,20,10000,1,Zone Connector,1017,,,
Connector,0,1346,11172,1,0.2518,7,21,10000,1,Zone Connector,1018,,,
Connector,0,1348,5210,1,0.2525,7,21,10000,1,Zone Connector,1019,,,
Connector,0,1349,5210,1,0.2309,7,21,10000,1,Zone Connector,1020,,,
Connector,0,1349,5219,1,0.2726,7,21,10000,1,Zone Connector,1021,,,
Connector,0,1349,11181,1,0.3091,7,21,10000,1,Zone Connector,1022,,,
Connector,0,1351,5209,1,0.2524,7,21,10000,1,Zone Connector,1023,,,
Connector,0,1352,5209,1,0.2516,7,21,10000,1,Zone Connector,1024,,,
Connector,0,1352,6256,1,0.254,7,21,10000,1,Zone Connector,1025,,,
Connector,0,1352,11181,1,0.3966,7,21,10000,1,Zone Connector,1026,,,
Connector,0,1352,11261,1,0.3863,7,21,10000,1,Zone Connector,1027,,,
