link_id,name,from_node_id,to_node_id,facility_type,link_type,dir_flag,length,lanes,free_speed,capacity,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,geometry
1,['South Dromedary Drive'  'West Palmcroft Drive'  'West Palmdale Drive'],4,1190,,1,1,1,1,60,1800,1,1800,0.15,4,"LINESTRING (-111.941984 33.406618 ,-111.941369 33.405868 )"
2,['South Dromedary Drive'  'West Palmcroft Drive'  'West Palmdale Drive'],1190,4,,1,1,1,1,60,1800,1,1800,0.15,4,"LINESTRING (-111.941369 33.405868 ,-111.941984 33.406618 )"
3,['South Dateland Drive'  'West Palmdale Drive'],4,1190,,1,1,1,1,60,1800,1,1800,0.15,4,"LINESTRING (-111.941984 33.406618 ,-111.941369 33.405868 )"
4,['South Dateland Drive'  'West Palmdale Drive'],1190,4,,1,1,1,1,60,1800,1,1800,0.15,4,"LINESTRING (-111.941369 33.405868 ,-111.941984 33.406618 )"
5,South Dateland Drive,4,4189,,1,1,1,1,60,1800,1,1800,0.15,4,"LINESTRING (-111.941984 33.406618 ,-111.941978 33.407397 )"
6,South Dateland Drive,4189,4,,1,1,1,1,60,1800,1,1800,0.15,4,"LINESTRING (-111.941978 33.407397 ,-111.941984 33.406618 )"
7,South Maple Avenue,14,15,,1,1,1,1,60,1800,1,1800,0.15,4,"LINESTRING (-111.941261 33.421930 ,-111.941239 33.420477 )"
8,South Maple Avenue,15,14,,1,1,1,1,60,1800,1,1800,0.15,4,"LINESTRING (-111.941239 33.420478 ,-111.941261 33.421931 )"
9,West University Drive,14,3869,,1,1,1,1,60,1800,1,1800,0.15,4,"LINESTRING (-111.941261 33.421931 ,-111.942390 33.421928 )"
10,West University Drive,3869,14,,1,1,1,1,60,1800,1,1800,0.15,4,"LINESTRING (-111.942390 33.421928 ,-111.941261 33.421930 )"
11,West University Drive,14,4096,,1,1,1,1,60,1800,1,1800,0.15,4,"LINESTRING (-111.941261 33.421930 ,-111.940080 33.421929 )"
12,West University Drive,4096,14,,1,1,1,1,60,1800,1,1800,0.15,4,"LINESTRING (-111.940080 33.421929 ,-111.941261 33.421931 )"
13,South Maple Avenue,15,17,,1,1,1,1,60,1800,1,1800,0.15,4,"LINESTRING (-111.941239 33.420477 ,-111.941238 33.419052 )"
14,South Maple Avenue,17,15,,1,1,1,1,60,1800,1,1800,0.15,4,"LINESTRING (-111.941237 33.419052 ,-111.941239 33.420478 )"
15,South Maple Avenue,15,14,,1,1,1,1,60,1800,1,1800,0.15,4,"LINESTRING (-111.941239 33.420478 ,-111.941261 33.421931 )"
16,South Maple Avenue,14,15,,1,1,1,1,60,1800,1,1800,0.15,4,"LINESTRING (-111.941261 33.421930 ,-111.941239 33.420477 )"
17,West 9th Street,15,3868,,1,1,1,1,60,1800,1,1800,0.15,4,"LINESTRING (-111.941239 33.420478 ,-111.942378 33.420473 )"
18,West 9th Street,3868,15,,1,1,1,1,60,1800,1,1800,0.15,4,"LINESTRING (-111.942378 33.420473 ,-111.941239 33.420477 )"
19,West 9th Street,15,2104,,1,1,1,1,60,1800,1,1800,0.15,4,"LINESTRING (-111.941239 33.420477 ,-111.940047 33.420493 )"
20,West 9th Street,2104,15,,1,1,1,1,60,1800,1,1800,0.15,4,"LINESTRING (-111.940047 33.420494 ,-111.941239 33.420478 )"
21,West Rio Salado Parkway,16,3774,,1,1,1,1,60,1800,1,1800,0.15,4,"LINESTRING (-111.943057 33.429669 ,-111.942881 33.429364 )"
22,West 1st Street,16,1023,,1,1,1,1,60,1800,1,1800,0.15,4,"LINESTRING (-111.943057 33.429669 ,-111.944257 33.429516 )"
23,West 1st Street,1023,16,,1,1,1,1,60,1800,1,1800,0.15,4,"LINESTRING (-111.944257 33.429515 ,-111.943057 33.429669 )"
