Time,Day,Hour,Min,10->11, Event, Episode No, Duration, Lane Volume(vphpl),Speed (mph),Density (vphpl), CumuFlow, TTI,,hist, Lane Volume(vphpl),Speed (mph),Density (vphpl), CumuFlow, TTI Diff, Flow Diff
0,0,0,0,,0,0,0,88.800003,71.300003,1.2,88.800003,91.164093,,,67.519997,71.019997,0.877667,67.519997,-0.362442,21.280006
5,0,0,5,,0,0,0,81.599998,70.900002,0.97,170.399994,91.678421,,,73.439987,70.539993,0.933333,140.959991,-0.473579,8.160011
10,0,0,10,,0,0,0,76.800003,71.900002,0.78,247.199997,90.403336,,,66.800011,69.846672,0.856667,207.759995,-2.677116,9.999992
15,0,0,15,,0,0,0,79.199997,70.900002,0.89,326.399994,91.678421,,,55.519997,69.200005,0.694667,263.279968,-2.276093,23.68
20,0,0,20,,0,0,0,67.199997,70,0.75,393.599976,92.85714,,,58.240002,68.779999,0.753667,321.52002,-1.67514,8.959995
25,0,0,25,,0,0,0,52.799999,69.699997,0.69,446.399963,93.256821,,,56.879997,68.476662,0.748333,378.400024,-1.713913,-4.079998
30,0,0,30,,0,0,0,55.200001,69.5,0.71,501.599976,93.525177,,,51.760006,67.866669,0.679333,430.160004,-2.307198,3.439995
35,0,0,35,,0,0,0,52.799999,69.300003,0.59,554.399963,93.79509,,,45.440006,67.500008,0.621333,475.600006,-2.581009,7.359993
40,0,0,40,,0,0,0,69.599998,69,0.91,623.999939,94.202896,,,50.159992,67.076668,0.643667,525.76001,-2.772049,19.440006
45,0,0,45,,0,0,0,43.200001,68.5,0.43,667.199951,94.890511,,,44.559998,66.743332,0.586667,570.320007,-2.564247,-1.359997
50,0,0,50,,0,0,0,52.799999,68.699997,0.7,719.999939,94.614265,,,42.480003,66.40667,0.567,612.799927,-3.340622,10.319996
55,0,0,55,,0,0,0,48,67.800003,0.61,767.999939,95.870201,,,40.240002,66.14666,0.544,653.039917,-2.474327,7.759998
60,0,1,0,,0,0,0,38.400002,66.699997,0.53,806.399963,97.451279,,,38.640003,65.636665,0.537,691.680054,-1.677887,-0.240002
65,0,1,5,,0,0,0,50.400002,68.099998,0.6,856.799988,95.447876,,,38.079998,65.363342,0.527,729.76001,-4.101952,12.320004
70,0,1,10,,0,0,0,28.799999,64.199997,0.35,885.599976,101.246109,,,36.960003,64.920006,0.545,766.719971,0.969994,-8.160004
75,0,1,15,,0,0,0,40.799999,67.199997,0.41,926.399963,96.726196,,,32.000004,65.013321,0.465667,798.719971,-3.389824,8.799995
80,0,1,20,,0,0,0,45.599998,69.900002,0.5,971.999939,92.989983,,,31.760002,64.419998,0.46,830.480042,-8.098442,13.839996
85,0,1,25,,0,0,0,48,67.900002,0.71,1019.999939,95.729012,,,32.720005,63.77,0.452333,863.200012,-6.412056,15.279995
90,0,1,30,,0,0,0,48,68.800003,0.47,1068,94.476738,,,32.799999,63.626659,0.486667,896.000061,-7.896507,15.200001
95,0,1,35,,0,0,0,31.200001,68,0.5,1099.199951,95.588234,,,34.240002,63.440002,0.5,930.23999,-7.136513,-3.040001
100,0,1,40,,0,0,0,28.799999,69.300003,0.37,1128,93.79509,,,28.799999,63.603329,0.405057,959.0401,-8.661484,0
105,0,1,45,,0,0,0,19.200001,67.900002,0.28,1147.199951,95.729012,,,31.040003,63.053329,0.429667,990.080017,-7.573479,-11.840002
110,0,1,50,,0,0,0,40.799999,66.300003,0.51,1188,98.039207,,,29.599998,62.933334,0.428,1019.680115,-5.476334,11.200001
115,0,1,55,,0,0,0,28.799999,67.699997,0.3,1216.800049,96.011818,,,26.400002,62.796669,0.383009,1046.080078,-7.764725,2.399998
120,0,2,0,,0,0,0,31.200001,67.699997,0.42,1248,96.011818,,,26.399996,62.929996,0.367,1072.47998,-7.502739,4.800005
125,0,2,5,,0,0,0,33.599998,68,0.38,1281.599976,95.588234,,,28.320002,63.203335,0.402333,1100.800049,-7.467056,5.279997
130,0,2,10,,0,0,0,16.799999,61.599998,0.21,1298.400024,105.519485,,,29.440002,62.696663,0.437333,1130.23999,1.628456,-12.640003
135,0,2,15,,0,0,0,38.400002,68.5,0.46,1336.800049,94.890511,,,32.560001,63.299995,0.465,1162.800049,-8.009552,5.84
140,0,2,20,,0,0,0,33.599998,63.299999,0.47,1370.400024,102.685623,,,31.679996,62.39333,0.467667,1194.480225,-1.688194,1.920002
145,0,2,25,,0,0,0,24,63,0.43,1394.400024,103.174606,,,32.959999,61.793335,0.540667,1227.439941,-2.244164,-8.959999
150,0,2,30,,0,0,0,19.200001,65.800003,0.25,1413.599976,98.784187,,,35.919998,61.553326,0.565,1263.359985,-7.078728,-16.719997
155,0,2,35,,0,0,0,26.4,65.900002,0.38,1440,98.634293,,,31.359995,61.266663,0.460333,1294.720215,-7.761971,-4.959995
160,0,2,40,,0,0,0,14.4,69.599998,0.22,1454.400024,93.390808,,,30.559998,61.619995,0.471667,1325.279907,-12.440262,-16.159998
165,0,2,45,,0,0,0,28.799999,66.300003,0.45,1483.200073,98.039207,,,33.52,61.470005,0.493333,1358.800049,-7.946182,-4.720001
170,0,2,50,,0,0,0,43.200001,66.300003,0.46,1526.400024,98.039207,,,32.720005,60.349995,0.476333,1391.520142,-9.998146,10.479996
175,0,2,55,,0,0,0,40.799999,63.799999,0.56,1567.200073,101.880882,,,32.879997,60.533329,0.489667,1424.400024,-5.801163,7.920002
180,0,3,0,,0,0,0,31.200001,66.099998,0.38,1598.400024,98.335854,,,31.68,60.850002,0.471,1456.079956,-8.804489,-0.48
185,0,3,5,,0,0,0,33.599998,64.800003,0.43,1632,100.30864,,,30.799999,60.646664,0.456556,1486.880127,-7.143349,2.799999
190,0,3,10,,0,0,0,38.400002,65.400002,0.64,1670.400024,99.388374,,,28.559999,60.553333,0.425423,1515.440063,-8.412636,9.840002
195,0,3,15,,0,0,0,33.599998,65.800003,0.57,1704,98.784187,,,22.320002,61.436661,0.321036,1537.760132,-7.270912,11.279997
200,0,3,20,,0,0,0,43.200001,64,0.51,1747.199951,101.5625,,,20.559999,61.359993,0.286586,1558.32019,-4.676079,22.640001
205,0,3,25,,0,0,0,40.799999,64.599998,0.45,1788,100.619194,,,18.880001,62.346657,0.256667,1577.200073,-3.830139,21.919998
210,0,3,30,,0,0,0,33.599998,65.099998,0.48,1821.599976,99.84639,,,14.16,62.516666,0.196,1591.360107,-4.350166,19.439999
215,0,3,35,,0,0,0,0,66.800003,0,1821.599976,97.305382,,,13.679999,63.09,0.189,1605.040161,-5.896484,-13.679999
220,0,3,40,,0,0,0,0,66.800003,0,1821.599976,97.305382,,,14.960001,62.896664,0.218333,1620.000244,-6.196121,-14.960001
225,0,3,45,,0,0,0,0,66.800003,0,1821.599976,97.305382,,,14.559999,62.98666,0.187,1634.560303,-6.056519,-14.559999
230,0,3,50,,0,0,0,0,66.800003,0,1821.599976,97.305382,,,13.52,62.526665,0.181,1648.080078,-6.855026,-13.52
235,0,3,55,,0,0,0,0,66.800003,0,1821.599976,97.305382,,,14.24,62.726662,0.21,1662.32019,-6.515327,-14.24
240,0,4,0,,0,0,0,0,66.800003,0,1821.599976,97.305382,,,20.24,62.060001,0.297068,1682.560181,-7.658478,-20.24
245,0,4,5,,0,0,0,0,66.800003,0,1821.599976,97.305382,,,38.960003,63.030003,0.513,1721.52002,-5.993568,-38.960003
250,0,4,10,,0,0,0,0,66.800003,0,1821.599976,97.305382,,,46.559998,62.949993,0.611,1768.0802,-6.105309,-46.559998
255,0,4,15,,0,0,0,24,72.800003,0.39,1845.599976,89.285713,,,58.879997,62.506664,0.825333,1826.960083,-14.976608,-34.879997
260,0,4,20,,0,0,0,96,65,1.35,1941.599976,100,,,72.239998,62.676662,0.979333,1899.199951,-3.859322,23.760002
265,0,4,25,,0,0,0,93.599998,63.599998,1.36,2035.199951,102.201263,,,80.319984,62.449993,1.097667,1979.519897,-2.021797,13.280014
270,0,4,30,,0,0,0,141.600006,64.400002,1.7,2176.800049,100.931671,,,96.319992,61.843334,1.270666,2075.840088,-4.334831,45.280014
275,0,4,35,,0,0,0,129.600006,64.199997,1.71,2306.400146,101.246109,,,117.68,61.636662,1.559,2193.52002,-4.387421,11.920006
280,0,4,40,,0,0,0,141.600006,62.200001,1.85,2448.000244,104.50161,,,128.319992,61.896667,1.707,2321.839844,-0.653374,13.280014
285,0,4,45,,0,0,0,120,61.5,1.56,2568.000244,105.691055,,,135.679993,61.656673,1.784667,2457.519775,0.134872,-15.679993
290,0,4,50,,0,0,0,105.599998,60.099998,1.52,2673.600342,108.153084,,,151.360016,60.746662,2.023,2608.879639,0.96759,-45.760017
295,0,4,55,,0,0,0,189.600006,61.400002,2.43,2863.200439,105.86319,,,171.519974,61.216667,2.242333,2780.399902,-0.515114,18.080032
300,0,5,0,,0,0,0,199.199997,61.099998,2.43,3062.400391,106.38298,,,173.11998,60.616665,2.263,2953.52002,-1.028496,26.080017
305,0,5,5,,0,0,0,213.600006,60.799999,2.76,3276.000488,106.907898,,,183.040009,60.133327,2.416,3136.559814,-1.378082,30.559998
310,0,5,10,,0,0,0,247.199997,59.700001,3.04,3523.200439,108.877724,,,212.960007,59.936665,2.832,3349.520264,0.172318,34.23999
315,0,5,15,,0,0,0,259.200012,60.200001,3.23,3782.400391,107.973419,,,240.080032,59.66333,3.179,3589.600098,-1.224983,19.11998
320,0,5,20,,0,0,0,278.399994,60.5,3.52,4060.800293,107.438019,,,257.200012,59.636662,3.393666,3846.800293,-1.861893,21.199982
325,0,5,25,,0,0,0,319.200012,59.900002,3.99,4380.000488,108.514191,,,273.759979,59.510002,3.574667,4120.560547,-1.041756,45.440033
330,0,5,30,,0,0,0,350.399994,59.599998,4.47,4730.400391,109.060402,,,292.799988,59.52,3.794666,4413.360352,-0.474823,57.600006
