agent_id,o_zone_id,d_zone_id,path_id,o_node_id,d_node_id,agent_type,demand_period,volume,cost,travel_time,distance,diff,relative_diff,switched_volume,node_sequence,link_sequence,time_sequence,time_decimal_sequence
1,1,2,0,1,2,p,AM,100,0,6,6,0,0,0,1;2;,1;,0830;0836;,510.00;516.00;
2,1,3,0,1,3,p,AM,100,0,4,4,0,0,0,1;3;,2;,0830;0834;,510.00;514.01;
3,1,4,0,1,4,p,AM,500,0,8.3,8,0,0,0,1;3;4;,2;6;,0830;0834;0838;,510.00;514.01;518.35;
4,1,5,0,1,5,p,AM,200,0,10.7,10,0,0,0,1;3;4;5;,2;6;9;,0830;0834;0838;0840;,510.00;514.01;518.35;520.72;
5,1,6,0,1,6,p,AM,300,0,12.1,11,0,0,0,1;2;6;,1;4;,0830;0836;0842;,510.00;516.00;522.12;
6,1,6,1,1,6,p,AM,0,0,20.1,14,8.0228,0,0,1;3;4;5;6;,2;6;9;12;,0830;0834;0838;0840;0850;,510.00;514.01;518.35;520.72;530.14;
7,1,7,0,1,7,p,AM,500,0,34.3,16,0,0,0,1;2;6;8;7;,1;4;16;20;,0830;0836;0842;0858;0904;,510.00;516.00;522.12;538.35;544.34;
8,1,7,2,1,7,p,AM,0,0,42.4,19,8.0228,0,0,1;3;4;5;6;8;7;,2;6;9;12;16;20;,0830;0834;0838;0840;0850;0906;0912;,510.00;514.01;518.35;520.72;530.14;546.38;552.37;
9,1,7,1,1,7,p,AM,0,0,42.4,28,8.0229,0,0,1;3;4;5;9;8;7;,2;6;9;13;24;20;,0830;0834;0838;0840;0850;0906;0912;,510.00;514.01;518.35;520.72;530.11;546.38;552.37;
10,1,8,0,1,8,p,AM,800,0,28.4,13,0,0,0,1;2;6;8;,1;4;16;,0830;0836;0842;0858;,510.00;516.00;522.12;538.35;
11,1,8,2,1,8,p,AM,0,0,36.4,16,8.0228,0,0,1;3;4;5;6;8;,2;6;9;12;16;,0830;0834;0838;0840;0850;0906;,510.00;514.01;518.35;520.72;530.14;546.38;
12,1,8,1,1,8,p,AM,0,0,36.4,25,8.0229,0,0,1;3;4;5;9;8;,2;6;9;13;24;,0830;0834;0838;0840;0850;0906;,510.00;514.01;518.35;520.72;530.11;546.38;
13,1,9,0,1,9,p,AM,500,0,20.1,15,0,0,0,1;3;4;5;9;,2;6;9;13;,0830;0834;0838;0840;0850;,510.00;514.01;518.35;520.72;530.11;
14,1,9,1,1,9,p,AM,0,0,39.5,22,19.3663,0,0,1;3;12;11;10;9;,2;7;36;32;26;,0830;0834;0838;0851;0903;0909;,510.00;514.01;518.03;531.72;543.78;549.47;
15,1,10,2,1,10,p,AM,0,0,27.5,19,1.7821,0,0,1;3;4;11;10;,2;6;10;32;,0830;0834;0838;0845;0857;,510.00;514.01;518.35;525.48;537.54;
16,1,10,0,1,10,p,AM,1300,0,25.8,18,0,0,0,1;3;4;5;9;10;,2;6;9;13;25;,0830;0834;0838;0840;0850;0855;,510.00;514.01;518.35;520.72;530.11;535.76;
17,1,10,1,1,10,p,AM,0,0,33.8,19,8.0186,0,0,1;3;12;11;10;,2;7;36;32;,0830;0834;0838;0851;0903;,510.00;514.01;518.03;531.72;543.78;
18,1,11,0,1,11,p,AM,500,0,15.5,14,0,0,0,1;3;4;11;,2;6;10;,0830;0834;0838;0845;,510.00;514.01;518.35;525.48;
19,1,11,1,1,11,p,AM,0,0,21.7,14,6.2365,0,0,1;3;12;11;,2;7;36;,0830;0834;0838;0851;,510.00;514.01;518.03;531.72;
20,1,12,0,1,12,p,AM,200,0,8,8,0,0,0,1;3;12;,2;7;,0830;0834;0838;,510.00;514.01;518.03;
21,1,13,0,1,13,p,AM,500,0,11.1,11,0,0,0,1;3;12;13;,2;7;37;,0830;0834;0838;0841;,510.00;514.01;518.03;521.06;
22,1,14,0,1,14,p,AM,300,0,28.3,18,0,0,0,1;3;4;11;14;,2;6;10;34;,0830;0834;0838;0845;0858;,510.00;514.01;518.35;525.48;538.25;
23,1,14,2,1,14,p,AM,0,0,34.5,18,6.2365,0,0,1;3;12;11;14;,2;7;36;34;,0830;0834;0838;0851;0904;,510.00;514.01;518.03;531.72;544.49;
24,1,14,1,1,14,p,AM,0,0,40.4,21,12.1882,0,0,1;3;12;13;24;23;14;,2;7;37;39;76;71;,0830;0834;0838;0841;0858;0901;0910;,510.00;514.01;518.03;521.06;538.13;541.73;550.44;
