link_id,from_node_id,to_node_id,time_period,volume,travel_time,speed,VOC,notes
1,1,3,0700_0800,2500.000,1.006,59.669,0.439,period-based
2,3,4,0700_0800,2500.000,1.007,59.589,0.463,period-based
3,4,5,0700_0800,2500.000,1.007,59.589,0.463,period-based
4,5,6,0700_0800,2500.000,1.007,59.589,0.463,period-based
5,6,7,0700_0800,2500.000,1.007,59.589,0.463,period-based
6,7,8,0700_0800,2500.000,1.007,59.589,0.463,period-based
7,8,9,0700_0800,2500.000,1.007,59.589,0.463,period-based
8,10,11,0700_0800,2500.000,1.035,57.977,0.694,period-based
9,11,12,0700_0800,2500.000,1.007,59.589,0.463,period-based
10,9,10,0700_0800,2500.000,1.035,57.977,0.694,period-based
11,1,14,0700_0800,0.000,1.000,60.000,0.000,period-based
12,14,15,0700_0800,0.000,1.000,60.000,0.000,period-based
13,15,16,0700_0800,0.000,1.000,60.000,0.000,period-based
14,16,17,0700_0800,0.000,1.000,60.000,0.000,period-based
15,17,18,0700_0800,0.000,1.000,60.000,0.000,period-based
16,18,19,0700_0800,0.000,1.000,60.000,0.000,period-based
17,19,20,0700_0800,0.000,1.000,60.000,0.000,period-based
18,20,21,0700_0800,0.000,1.000,60.000,0.000,period-based
19,21,22,0700_0800,0.000,1.000,60.000,0.000,period-based
20,22,23,0700_0800,0.000,1.000,60.000,0.000,period-based
21,23,24,0700_0800,0.000,1.000,60.000,0.000,period-based
22,24,25,0700_0800,0.000,1.000,60.000,0.000,period-based
23,25,26,0700_0800,0.000,1.000,60.000,0.000,period-based
24,26,27,0700_0800,0.000,1.000,60.000,0.000,period-based
25,27,28,0700_0800,0.000,1.000,60.000,0.000,period-based
26,28,29,0700_0800,0.000,1.000,60.000,0.000,period-based
27,29,2,0700_0800,0.000,1.000,60.000,0.000,period-based
28,12,2,0700_0800,2500.000,1.002,59.869,0.347,period-based
29,1,30,0700_0800,6500.000,3.891,15.419,1.806,period-based
30,30,31,0700_0800,6500.000,39.760,1.509,3.611,period-based
31,31,32,0700_0800,6500.000,3.891,15.419,1.806,period-based
32,32,33,0700_0800,6500.000,39.760,1.509,3.611,period-based
33,34,2,0700_0800,2500.000,3.105,38.652,0.694,period-based
34,33,35,0700_0800,6500.000,39.760,1.509,3.611,period-based
35,35,34,0700_0800,6500.000,39.760,1.509,3.611,period-based
36,36,31,0700_0800,1000.000,4.007,29.945,0.333,period-based
37,31,36,0700_0800,1000.000,1.946,64.991,0.175,period-based
38,31,37,0700_0800,1000.000,1.924,64.991,0.175,period-based
39,37,31,0700_0800,1000.000,1.924,64.991,0.175,period-based
40,38,33,0700_0800,0.000,2.292,65.000,0.000,period-based
41,33,38,0700_0800,0.000,2.292,65.000,0.000,period-based
42,33,39,0700_0800,0.000,2.216,65.000,0.000,period-based
43,39,33,0700_0800,0.000,2.216,65.000,0.000,period-based
44,40,35,0700_0800,0.000,1.675,65.000,0.000,period-based
45,35,40,0700_0800,0.000,1.675,65.000,0.000,period-based
46,35,41,0700_0800,0.000,2.332,65.000,0.000,period-based
47,41,35,0700_0800,0.000,2.332,65.000,0.000,period-based
48,4,36,0700_0800,0.000,4.000,30.000,0.000,period-based
49,2,34,0700_0800,0.000,2.345,65.000,0.000,period-based
50,34,35,0700_0800,0.000,1.765,65.000,0.000,period-based
51,35,33,0700_0800,0.000,1.850,65.000,0.000,period-based
52,33,32,0700_0800,0.000,1.497,65.000,0.000,period-based
53,32,31,0700_0800,0.000,1.751,65.000,0.000,period-based
54,31,30,0700_0800,0.000,1.893,65.000,0.000,period-based
55,30,1,0700_0800,0.000,1.946,65.000,0.000,period-based
