link_id,from_node_id,to_node_id,time_period,volume,CA,CD,queue,travel_time,waiting_time_in_sec,speed,notes
1,1,3,0700:00_0701:00,0.000,2.000,0.000,0.000,0.000,0.000,60.000,simulation-based
1,1,3,0701:00_0702:00,2.000,85.000,2.000,0.000,1.006,0.381,59.621,simulation-based
1,1,3,0702:00_0703:00,83.000,169.000,85.000,0.000,1.017,1.000,59.016,simulation-based
1,1,3,0703:00_0704:00,83.000,252.000,168.000,1.000,1.004,0.217,59.784,simulation-based
1,1,3,0704:00_0705:00,83.000,335.000,251.000,1.000,1.005,0.310,59.692,simulation-based
1,1,3,0705:00_0706:00,84.000,419.000,335.000,0.000,1.008,0.506,59.498,simulation-based
1,1,3,0706:00_0707:00,83.000,502.000,418.000,1.000,1.001,0.084,59.916,simulation-based
1,1,3,0707:00_0708:00,84.000,585.000,502.000,0.000,1.006,0.345,59.657,simulation-based
1,1,3,0708:00_0709:00,83.000,669.000,585.000,0.000,1.002,0.120,59.880,simulation-based
1,1,3,0709:00_0710:00,84.000,752.000,669.000,0.000,1.010,0.590,59.415,simulation-based
1,1,3,0710:00_0711:00,83.000,835.000,752.000,0.000,1.009,0.524,59.481,simulation-based
1,1,3,0711:00_0712:00,82.000,919.000,834.000,1.000,1.005,0.325,59.676,simulation-based
1,1,3,0712:00_0713:00,84.000,1002.000,918.000,1.000,1.006,0.361,59.641,simulation-based
1,1,3,0713:00_0714:00,82.000,1085.000,1000.000,2.000,1.008,0.476,59.528,simulation-based
1,1,3,0714:00_0715:00,84.000,1169.000,1084.000,1.000,1.008,0.470,59.534,simulation-based
1,1,3,0715:00_0716:00,83.000,1252.000,1167.000,2.000,1.004,0.253,59.748,simulation-based
1,1,3,0716:00_0717:00,85.000,1335.000,1252.000,0.000,1.002,0.119,59.881,simulation-based
1,1,3,0717:00_0718:00,83.000,1419.000,1335.000,0.000,1.003,0.193,59.808,simulation-based
1,1,3,0718:00_0719:00,84.000,1502.000,1419.000,0.000,1.015,0.892,59.121,simulation-based
1,1,3,0719:00_0720:00,81.000,1585.000,1500.000,2.000,1.003,0.190,59.810,simulation-based
1,1,3,0720:00_0721:00,84.000,1669.000,1584.000,1.000,1.005,0.289,59.712,simulation-based
1,1,3,0721:00_0722:00,84.000,1752.000,1668.000,1.000,1.004,0.241,59.760,simulation-based
1,1,3,0722:00_0723:00,84.000,1835.000,1752.000,0.000,1.002,0.143,59.857,simulation-based
1,1,3,0723:00_0724:00,83.000,1919.000,1835.000,0.000,1.004,0.229,59.772,simulation-based
1,1,3,0724:00_0725:00,84.000,2002.000,1919.000,0.000,1.007,0.422,59.581,simulation-based
